map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev (feet),Ref,sample #,top (feet),bottom (feet),Formation,% CaCO3      (TC-TOC)*8.33,Tmax °C,S1       mgHC/g-rock,S2       mgHC/g-rock,GP  S1+S2,S3       mgCO2/g-rock,PI  S1/(S1+S2),S2/S3,LECO TOC Wt. %,TC Wt. %,HI    (S2/TOC)*100,OI     (S3/TOC)*100,(S1/TOC)*100,CRC ,LIMS ID,,,,,,
18,0510706144,Quintana Petroleum,1-22 Temple,40.46029,-107.360093,6N,89W,22,NW SE,Sixth Principal,"6,631",KB,GRB-2021-76,"1,270","1,300",Lewis,11.08,429,0.02,0.30,0.32,0.64,0.06,0,1.1,2.43,27,58,2,DZ16680,E210901-016,,,,,,
19,0510706143,Quintana Petroleum,1-21 Nottingham,40.555259,-107.274561,7N,88W,21,NW NW,Sixth Principal,"6,858",KB,GRB-2021-77,"2,840","2,860",Lewis,7.66,431,0.05,0.59,0.64,0.58,0.08,1,1.05,1.97,56,55,5,DZ21071,E210901-017,,,,,,
19,0510706143,Quintana Petroleum,1-21 Nottingham,40.555259,-107.274561,7N,88W,21,NW NW,Sixth Principal,"6,858",KB,GRB-2021-78,"2,860","2,870",Asquith,7.75,432,0.04,0.51,0.55,0.51,0.07,1,1,1.93,51,51,4,DZ21071,E210901-018,,,,,,
19,0510706143,Quintana Petroleum,1-21 Nottingham,40.555259,-107.274561,7N,88W,21,NW NW,Sixth Principal,"6,858",KB,GRB-2021-79,"2,870","2,880",Asquith,7.08,430,0.03,0.26,0.29,0.75,0.10,0,0.97,1.82,27,77,3,DZ21071,E210901-019,,,,,,
19,0510706143,Quintana Petroleum,1-21 Nottingham,40.555259,-107.274561,7N,88W,21,NW NW,Sixth Principal,"6,858",KB,GRB-2021-80,"2,880","2,890",Lewis,7.25,434,0.05,0.74,0.79,0.52,0.06,1,1.09,1.96,68,48,5,DZ21071,E210901-020,,,,,,
19,0510706143,Quintana Petroleum,1-21 Nottingham,40.555259,-107.274561,7N,88W,21,NW NW,Sixth Principal,"6,858",KB,GRB-2021-81,"2,890","2,900",Lewis,7.58,435,0.05,1.01,1.06,0.45,0.05,2,1.14,2.05,89,39,4,DZ21071,E210901-021,,,,,,
19,0510706143,Quintana Petroleum,1-21 Nottingham,40.555259,-107.274561,7N,88W,21,NW NW,Sixth Principal,"6,858",KB,GRB-2021-82,"2,570","2,590",Lewis,9.91,431,0.07,1.93,2.00,0.57,0.04,3,1.53,2.72,126,37,5,DZ21071,E210901-022,,,,,,
20,4903720341,Champlin Petroleum,Brady Unit 1-21-11,41.386932,-108.75011,16N,101W,11,NE NW,Sixth Principal,"7,135",KB,GRB-2021-83,"2,480","2,490",Lewis,11.50,430,0.09,1.78,1.87,0.49,0.05,4,1.43,2.81,124,34,6,CZ09884,E210901-023,,,,,,
20,4903720341,Champlin Petroleum,Brady Unit 1-21-11,41.386932,-108.75011,16N,101W,11,NE NW,Sixth Principal,"7,135",KB,GRB-2021-84,"2,490","2,500",Asquith,13.58,429,0.09,1.77,1.86,0.84,0.05,2,1.81,3.44,98,46,5,CZ09884,E210901-024,,,,,,
20,4903720341,Champlin Petroleum,Brady Unit 1-21-11,41.386932,-108.75011,16N,101W,11,NE NW,Sixth Principal,"7,135",KB,GRB-2021-85,"2,510","2,520",Asquith,7.41,431,0.11,1.86,1.97,0.61,0.06,3,1.62,2.51,115,38,7,CZ09884,E210901-025,,,,,,
