map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev,Ref,sample #,top,bottom,Formation,% CaCO3,Tmax,S1,S2,G.P.,S3,PI,S2/S3,LECO TOC,TC,HI,OI,(S1/TOC)*100,LIMS ID
,,,,,,,,,,,feet,,,feet,feet,,(TC-TOC)*8.33,°C,mgHC/g-rock,mgHC/g-rock,S1+S2,mgCO2/g-rock,S1/(S1+S2),,Wt. %,Wt. %,(S2/TOC)*100,(S3/TOC)*100,,
21,4902505426,Davis Oil Co.,Bonnette-Federal 1,42.7319,-106.6014,32N,82W,24,ne ne,Sixth Principal,"5,462",KB,WRB-2018-52,550,570,Mowry,18.08,430,0.17,1.58,1.75,0.69,0.1,2,1.38,3.55,114,50,12,E181014-010
21,4902505426,Davis Oil Co.,Bonnette-Federal 1,42.7319,-106.6014,32N,82W,24,ne ne,Sixth Principal,"5,462",KB,WRB-2018-53,630,640,Mowry,3.75,424,0.51,9.33,9.84,0.52,0.05,18,2.68,3.13,348,19,19,E181014-011
22,4901305994,Sinclair Oil,1 Little Shield,42.9675,-108.73319,1S,1E,23,nw nw,Wind River,"5,351",DF,WRB-2018-54,"1,100","1,110",Mowry,3.33,427,0.48,3.03,3.51,0.63,0.14,5,1.81,2.21,168,35,27,E181014-012
22,4901305994,Sinclair Oil,1 Little Shield,42.9675,-108.73319,1S,1E,23,nw nw,Wind River,"5,351",DF,WRB-2018-55,"1,110","1,120",Shell Creek,2.00,427,0.33,2.03,2.36,0.66,0.14,3,1.47,1.71,138,45,22,E181014-013
23,4901305260,Bland & Barnhart Drlg.,1 Henton,42.645115,-108.35533,31N,96W,19,ne sw,Sixth Principal,"5,658",KB,WRB-2018-56,560,570,Mowry,0.67,426,0.3,2.04,2.34,0.53,0.13,4,1.67,1.75,122,32,18,E181014-014
23,4901305260,Bland & Barnhart Drlg.,1 Henton,42.645115,-108.35533,31N,96W,19,ne sw,Sixth Principal,"5,658",KB,WRB-2018-57,690,700,Mowry,1.42,434,0.22,1.69,1.91,0.49,0.12,3,1.57,1.74,108,31,14,E181014-015
23,4901305260,Bland & Barnhart Drlg.,1 Henton,42.645115,-108.35533,31N,96W,19,ne sw,Sixth Principal,"5,658",KB,WRB-2018-58,790,800,Mowry,4.66,426,0.4,5.67,6.07,0.64,0.07,9,2.38,2.94,238,27,17,E181014-016
23,4901305260,Bland & Barnhart Drlg.,1 Henton,42.645115,-108.35533,31N,96W,19,ne sw,Sixth Principal,"5,658",KB,WRB-2018-59,910,920,Shell Creek,1.33,434,0.18,1.61,1.79,0.48,0.1,3,1.47,1.63,109,33,12,E181014-017
23,4901305260,Bland & Barnhart Drlg.,1 Henton,42.645115,-108.35533,31N,96W,19,ne sw,Sixth Principal,"5,658",KB,WRB-2018-60,"1,060","1,070",Thermopolis,11.41,438,0.19,1.11,1.30,0.53,0.15,2,1.16,2.53,96,46,16,E181014-018
24,4901321192,Robert Klabzuba,Federal 1-30,42.801973,-108.618562,33N,98W,30,ne sw,Sixth Principal,"5,353",KB,WRB-2018-61,"1,820","1,830",Mowry,4.00,427,0.26,3.41,3.67,0.45,0.07,8,1.87,2.35,183,24,14,E181014-019
24,4901321192,Robert Klabzuba,Federal 1-30,42.801973,-108.618562,33N,98W,30,ne sw,Sixth Principal,"5,353",KB,WRB-2018-62,"1,850","1,860",Mowry,3.58,423,0.34,6.06,6.40,0.38,0.05,16,2.16,2.59,281,18,16,E181014-020
25,4901305911,Padon Co.,Tribal 1,43.17227,-108.96035,2S,2E,7,nw ne,Wind River,"5,350",KB,WRB-2018-63,"1,940","1,960",Mowry,6.25,425,0.36,3.48,3.84,0.51,0.09,7,1.80,2.55,193,28,20,E181014-021
26,4902505577,Pan American Oil,1 Govt.,42.830384,-106.713125,33N,82W,18,se ne,Sixth Principal,"5,680",KB,WRB-2018-64,450,460,Mowry,1.00,423,0.55,10.89,11.44,0.78,0.05,14,3.46,3.58,315,23,16,E181014-022
