l,llcl_muK2
1214,1652.0473
1215,1662.9714
1216,1674.1477
1217,1685.5633
1218,1697.2052
1219,1709.0602
1220,1721.1151
1221,1733.3563
1222,1745.7704
1223,1758.3437
1224,1771.0626
1225,1783.9132
1226,1796.8819
1227,1809.9546
1228,1823.1175
1229,1836.3567
1230,1849.6581
1231,1863.0080
1232,1876.3922
1233,1889.7970
1234,1903.2084
1235,1916.6127
1236,1929.9959
1237,1943.3445
1238,1956.6448
1239,1969.8833
1240,1983.0465
1241,1996.1210
1242,2009.0938
1243,2021.9517
1244,2034.6818
1245,2047.2713
1246,2059.7076
1247,2071.9782
1248,2084.0710
1249,2095.9739
1250,2107.6749
1251,2119.1624
1252,2130.4251
1253,2141.4516
1254,2152.2311
1255,2162.7527
1256,2173.0061
1257,2182.9811
1258,2192.6676
1259,2202.0560
1260,2211.1370
1261,2219.9014
1262,2228.3405
1263,2236.4457
1264,2244.2089
1265,2251.6222
1266,2258.6780
1267,2265.3691
1268,2271.6887
1269,2277.6300
1270,2283.1870
1271,2288.3537
1272,2293.1246
1273,2297.4944
1274,2301.4584
1275,2305.0120
1276,2308.1512
1277,2310.8721
1278,2313.1714
1279,2315.0459
1280,2316.4931
1281,2317.5105
1282,2318.0963
1283,2318.2488
1284,2317.9668
1285,2317.2495
1286,2316.0964
1287,2314.5073
1288,2312.4825
1289,2310.0225
1290,2307.1284
1291,2303.8014
1292,2300.0432
1293,2295.8559
1294,2291.2417
1295,2286.2034
1296,2280.7441
1297,2274.8671
1298,2268.5762
1299,2261.8755
1300,2254.7693
1301,2247.2623
1302,2239.3595
1303,2231.0664
1304,2222.3885
1305,2213.3317
1306,2203.9024
1307,2194.1070
1308,2183.9522
1309,2173.4453
1310,2162.5935
1311,2151.4045
1312,2139.8860
1313,2128.0462
1314,2115.8935
1315,2103.4363
1316,2090.6835
1317,2077.6441
1318,2064.3273
1319,2050.7425
1320,2036.8993
1321,2022.8075
1322,2008.4770
1323,1993.9180
1324,1979.1406
1325,1964.1554
1326,1948.9728
1327,1933.6035
1328,1918.0584
1329,1902.3483
1330,1886.4842
1331,1870.4772
1332,1854.3385
1333,1838.0792
1334,1821.7108
1335,1805.2444
1336,1788.6916
1337,1772.0638
1338,1755.3723
1339,1738.6286
1340,1721.8442
1341,1705.0306
1342,1688.1991
1343,1671.3611
1344,1654.5281
1345,1637.7114
1346,1620.9223
1347,1604.1719
1348,1587.4713
1349,1570.8318
1350,1554.2642
1351,1537.7794
1352,1521.3882
1353,1505.1012
1354,1488.9289
1355,1472.8818
1356,1456.9702
1357,1441.2040
1358,1425.5934
1359,1410.1480
1360,1394.8775
1361,1379.7914
1362,1364.8988
1363,1350.2090
1364,1335.7306
1365,1321.4725
1366,1307.4430
1367,1293.6503
1368,1280.1026
1369,1266.8075
1370,1253.7727
1371,1241.0053
1372,1228.5126
1373,1216.3012
1374,1204.3777
1375,1192.7485
1376,1181.4196
1377,1170.3966
1378,1159.6852
1379,1149.2905
1380,1139.2174
1381,1129.4707
1382,1120.0546
1383,1110.9733
1384,1102.2306
1385,1093.8300
1386,1085.7746
1387,1078.0674
1388,1070.7110
1389,1063.7078
1390,1057.0597
1391,1050.7686
1392,1044.8358
1393,1039.2624
1394,1034.0494
1395,1029.1972
1396,1024.7060
1397,1020.5760
1398,1016.8066
1399,1013.3972
1400,1010.3469
1401,1007.6546
1402,1005.3186
1403,1003.3372
1404,1001.7083
1405,1000.4295
1406,999.4983
1407,998.9116
1408,998.6664
1409,998.7592
1410,999.1863
1411,999.9437
1412,1001.0272
1413,1002.4323
1414,1004.1544
1415,1006.1885
1416,1008.5293
1417,1011.1716
1418,1014.1095
1419,1017.3374
1420,1020.8491
1421,1024.6383
1422,1028.6985
1423,1033.0232
1424,1037.6054
1425,1042.4380
1426,1047.5139
1427,1052.8257
1428,1058.3659
1429,1064.1266
1430,1070.1001
1431,1076.2784
1432,1082.6533
1433,1089.2166
1434,1095.9599
1435,1102.8747
1436,1109.9525
1437,1117.1845
1438,1124.5620
1439,1132.0761
1440,1139.7179
1441,1147.4783
1442,1155.3484
1443,1163.3190
1444,1171.3809
1445,1179.5250
1446,1187.7421
1447,1196.0229
1448,1204.3581
1449,1212.7386
1450,1221.1550
1451,1229.5982
1452,1238.0589
1453,1246.5279
1454,1254.9961
1455,1263.4543
1456,1271.8934
1457,1280.3045
1458,1288.6787
1459,1297.0069
1460,1305.2804
1461,1313.4905
1462,1321.6286
1463,1329.6861
1464,1337.6546
1465,1345.5258
1466,1353.2914
1467,1360.9435
1468,1368.4739
1469,1375.8751
1470,1383.1392
1471,1390.2587
1472,1397.2263
1473,1404.0348
1474,1410.6771
1475,1417.1463
1476,1423.4358
1477,1429.5390
1478,1435.4495
1479,1441.1613
1480,1446.6683
1481,1451.9648
1482,1457.0453
1483,1461.9043
1484,1466.5367
1485,1470.9376
1486,1475.1023
1487,1479.0262
1488,1482.7051
1489,1486.1349
1490,1489.3117
1491,1492.2319
1492,1494.8922
1493,1497.2894
1494,1499.4206
1495,1501.2831
1496,1502.8745
1497,1504.1925
1498,1505.2352
1499,1506.0008
1500,1506.4879
1501,1506.6951
1502,1506.6216
1503,1506.2664
1504,1505.6291
1505,1504.7093
1506,1503.5070
1507,1502.0224
1508,1500.2559
1509,1498.2080
1510,1495.8798
1511,1493.2722
1512,1490.3866
1513,1487.2247
1514,1483.7880
1515,1480.0788
1516,1476.0991
1517,1471.8515
1518,1467.3386
1519,1462.5632
1520,1457.5285
1521,1452.2377
1522,1446.6943
1523,1440.9019
1524,1434.8645
1525,1428.5860
1526,1422.0708
1527,1415.3232
1528,1408.3479
1529,1401.1496
1530,1393.7332
1531,1386.1039
1532,1378.2669
1533,1370.2275
1534,1361.9915
1535,1353.5644
1536,1344.9520
1537,1336.1605
1538,1327.1957
1539,1318.0640
1540,1308.7716
1541,1299.3250
1542,1289.7307
1543,1279.9954
1544,1270.1257
1545,1260.1285
1546,1250.0106
1547,1239.7790
1548,1229.4408
1549,1219.0029
1550,1208.4726
1551,1197.8570
1552,1187.1633
1553,1176.3989
1554,1165.5710
1555,1154.6868
1556,1143.7539
1557,1132.7795
1558,1121.7709
1559,1110.7355
1560,1099.6806
1561,1088.6137
1562,1077.5419
1563,1066.4726
1564,1055.4131
1565,1044.3704
1566,1033.3520
1567,1022.3647
1568,1011.4158
1569,1000.5122
1570,989.6610
1571,978.8689
1572,968.1427
1573,957.4893
1574,946.9151
1575,936.4269
1576,926.0309
1577,915.7336
1578,905.5412
1579,895.4598
1580,885.4955
1581,875.6540
1582,865.9413
1583,856.3628
1584,846.9242
1585,837.6308
1586,828.4878
1587,819.5003
1588,810.6732
1589,802.0113
1590,793.5193
1591,785.2016
1592,777.0625
1593,769.1062
1594,761.3367
1595,753.7577
1596,746.3728
1597,739.1857
1598,732.1995
1599,725.4173
1600,718.8422
1601,712.4768
1602,706.3237
1603,700.3853
1604,694.6638
1605,689.1612
1606,683.8793
1607,678.8198
1608,673.9841
1609,669.3735
1610,664.9891
1611,660.8317
1612,656.9020
1613,653.2006
1614,649.7277
1615,646.4836
1616,643.4681
1617,640.6810
1618,638.1218
1619,635.7901
1620,633.6849
1621,631.8053
1622,630.1502
1623,628.7182
1624,627.5078
1625,626.5174
1626,625.7451
1627,625.1889
1628,624.8466
1629,624.7158
1630,624.7941
1631,625.0788
1632,625.5670
1633,626.2558
1634,627.1421
1635,628.2226
1636,629.4938
1637,630.9523
1638,632.5943
1639,634.4160
1640,636.4135
1641,638.5828
1642,640.9195
1643,643.4194
1644,646.0781
1645,648.8910
1646,651.8536
1647,654.9611
1648,658.2086
1649,661.5912
1650,665.1040
1651,668.7418
1652,672.4995
1653,676.3719
1654,680.3535
1655,684.4392
1656,688.6234
1657,692.9007
1658,697.2656
1659,701.7124
1660,706.2355
1661,710.8294
1662,715.4884
1663,720.2066
1664,724.9785
1665,729.7983
1666,734.6602
1667,739.5585
1668,744.4875
1669,749.4413
1670,754.4143
1671,759.4007
1672,764.3949
1673,769.3911
1674,774.3836
